City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
6,Veraval,IN,81.27,scattered clouds,20.9,70.3667,Lords Inn Somnath
16,Moussoro,TD,83.25,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
17,San Policarpo,PH,85.24,scattered clouds,12.1791,125.5072,Agapita M. Nicart
18,Georgetown,MY,88.9,scattered clouds,5.4112,100.3354,Cititel Penang
25,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
29,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
32,Butaritari,KI,82.18,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
35,Fuling,CN,78.94,scattered clouds,29.7022,107.3919,Yingbin Hostel
41,Ko Samui,TH,82.44,scattered clouds,9.5357,99.9357,The Passage
53,Vanimo,PG,87.82,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
54,Sampit,ID,86.11,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
58,Inirida,CO,75.99,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
62,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
63,Loiza,PR,81.07,scattered clouds,18.4313,-65.8802,Vacation Realty
71,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
73,Hithadhoo,MV,82.35,scattered clouds,-0.6,73.0833,Scoop Guest House
74,Dehloran,IR,86.77,scattered clouds,32.6941,47.2679,کافه گیم استورم
75,Sanghar,PK,86.4,scattered clouds,26.0466,68.9481,Goklani House گوکلانی ہائوس
76,Atuona,PF,77.04,scattered clouds,-9.8,-139.0333,Villa Enata
80,Bengkulu,ID,82.35,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
86,Hilo,US,80.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
87,Katobu,ID,87.87,scattered clouds,-4.9408,122.5276,La Ode Husein
88,San Pedro,PH,88.83,scattered clouds,14.35,121.0167,Palines Apartment and Guesthouse
89,Sinnamary,GF,77.07,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
90,Amli,IN,80.49,scattered clouds,20.2833,73.0167,Hotel Soubhagya inn
103,Mogadishu,SO,77.38,scattered clouds,2.0371,45.3438,Hotel Juba
109,Porto Novo,BJ,75.11,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
116,Honiara,SB,84.4,scattered clouds,-9.4333,159.95,Heritage Park Hotel
117,Bandarbeyla,SO,78.42,scattered clouds,9.4942,50.8122,JABIR HOTEL
119,Shikarpur,PK,85.89,scattered clouds,27.9571,68.6379,TSK™ Hotel
124,Ixtapa,MX,79.83,scattered clouds,20.7,-105.2,hotel la terminal
133,Hasaki,JP,88.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
134,Mitsamiouli,KM,75.51,scattered clouds,-11.3847,43.2844,Foyer ADM
135,Kavaratti,IN,81.86,scattered clouds,10.5669,72.642,Green leaf
137,Sola,VU,80.37,scattered clouds,-13.8833,167.55,Leumerus Bungalows
138,Ca Mau,VN,85.17,scattered clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
144,Touros,BR,75.54,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
146,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
152,Cayenne,GF,75.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,Buraydah,SA,76.82,scattered clouds,26.326,43.975,Mövenpick Qassim
165,Madang,PG,86.56,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
166,Ojinaga,MX,76.15,scattered clouds,29.5667,-104.4167,Suites Las Palmas
168,Kudahuvadhoo,MV,81.57,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
172,Pak Phanang,TH,84.06,scattered clouds,8.3511,100.20200000000001,Green Park Inn Hotel
173,Katsuura,JP,79.36,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
176,Lakhisarai,IN,78.35,scattered clouds,25.1768,86.0932,Hotel DRS Deluxe
177,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
187,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
191,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
205,Maxixe,MZ,75.02,scattered clouds,-23.8597,35.3472,Oceano
206,Faanui,PF,77.77,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
209,Tautira,PF,76.08,scattered clouds,-17.7333,-149.15,Pension Oaoa
215,Atar,MR,88.54,scattered clouds,20.5169,-13.0499,Oumou Elghoura
216,Black River,JM,77.74,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
227,Mahad,IN,79.84,scattered clouds,18.0833,73.4167,Hotel Saitej
232,Fitii,PF,76.93,scattered clouds,-16.7333,-151.0333,Maitai Lapita Village Huahine
234,Tabou,CI,75.27,scattered clouds,4.423,-7.3528,hotêl doufoulougou
237,Fukue,JP,79.05,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
238,Samarai,PG,81.64,scattered clouds,-10.6167,150.6667,Nuli Sapi
241,Kirakira,SB,83.98,scattered clouds,-10.4544,161.9205,SanBiz Lodge
243,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
244,Rudraprayag,IN,81.18,scattered clouds,30.2833,78.9833,HOTEL PUSHPDEEP GRAND
250,Pochutla,MX,76.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
253,Muroto,JP,78.67,scattered clouds,33.2833,134.15,Oota Ryokan
259,Lalmohan,BD,84.02,scattered clouds,22.3384,90.7419,Arifur Rahman Miraj
265,Alofi,NU,76.95,scattered clouds,-19.0595,-169.9187,Taloa Heights
275,Itarema,BR,77.4,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
277,Indi,IN,81.5,scattered clouds,17.1667,75.9667,Shree Gurubhojanalaya
279,Manggar,ID,85.53,scattered clouds,-2.8833,108.2667,Guest Hotel
280,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
281,Noumea,NC,76.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
287,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
299,Aswan,EG,80.31,scattered clouds,24.0934,32.907,Nuba Nile
300,San Patricio,US,75.83,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
