City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.76,74,75,12.66,scattered clouds
1,Dikson,RU,73.5069,80.5464,31.82,99,100,5.12,scattered clouds
2,Hobart,AU,-42.8794,147.3294,55.26,59,40,13.8,scattered clouds
3,Albany,US,42.6001,-73.9662,48.45,79,100,4.14,scattered clouds
4,Mataura,NZ,-46.1927,168.8643,41.79,99,99,6.13,scattered clouds
5,Torbay,CA,47.6666,-52.7314,41.4,80,7,4.0,scattered clouds
6,Veraval,IN,20.9,70.3667,81.27,74,94,6.87,scattered clouds
7,Wencheng,CN,33.0559,113.7978,48.34,88,100,20.69,scattered clouds
8,Waddan,LY,29.1614,16.139,67.68,86,85,6.08,scattered clouds
9,Busselton,AU,-33.65,115.3333,62.4,60,0,13.29,scattered clouds
10,Mossendjo,CG,-2.9506,12.7261,68.86,98,100,1.21,scattered clouds
11,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,6.91,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,41.32,90,100,4.7,scattered clouds
13,Saint-Philippe,RE,-21.3585,55.7679,74.21,78,39,13.89,scattered clouds
14,Carnarvon,AU,-24.8667,113.6333,74.95,37,0,8.16,scattered clouds
15,Jamestown,US,42.097,-79.2353,44.24,74,0,6.91,scattered clouds
16,Moussoro,TD,13.6408,16.4901,83.25,52,56,8.61,scattered clouds
17,San Policarpo,PH,12.1791,125.5072,85.24,69,74,7.76,scattered clouds
18,Georgetown,MY,5.4112,100.3354,88.9,72,20,3.44,scattered clouds
19,Dzerzhinskoye,RU,56.8344,95.2283,35.6,75,26,2.42,scattered clouds
20,Mangochi,MW,-14.4782,35.2645,74.07,44,0,2.73,scattered clouds
21,Merauke,ID,-8.4667,140.3333,87.24,69,70,15.99,scattered clouds
22,Faya,SA,18.3851,42.4509,63.12,24,1,5.97,scattered clouds
23,Bethel,US,41.3712,-73.414,49.55,75,100,5.99,scattered clouds
24,Rikitea,PF,-23.1203,-134.9692,71.64,66,59,21.3,scattered clouds
25,Kahului,US,20.8947,-156.47,80.62,77,75,12.66,scattered clouds
26,Aripuana,BR,-9.1667,-60.6333,70.34,99,92,2.64,scattered clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,65.55,94,41,4.0,scattered clouds
28,Cape Town,ZA,-33.9258,18.4232,61.38,84,85,1.01,scattered clouds
29,Avarua,CK,-21.2078,-159.775,77.05,78,40,21.85,scattered clouds
30,Yellowknife,CA,62.456,-114.3525,41.56,60,99,11.01,scattered clouds
31,Pisco,PE,-13.7,-76.2167,60.85,82,100,9.22,scattered clouds
32,Butaritari,KI,3.0707,172.7902,82.18,73,56,14.16,scattered clouds
33,Geraldton,AU,-28.7667,114.6,73.81,43,0,17.27,scattered clouds
34,Nuuk,GL,64.1835,-51.7216,32.61,100,75,1.14,scattered clouds
35,Fuling,CN,29.7022,107.3919,78.94,67,99,5.03,scattered clouds
36,Sitka,US,57.0531,-135.33,48.09,93,0,5.75,scattered clouds
37,Hermanus,ZA,-34.4187,19.2345,54.81,67,69,5.64,scattered clouds
38,Bluff,NZ,-46.6,168.3333,44.24,86,100,19.69,scattered clouds
39,Saskylakh,RU,71.9167,114.0833,19.89,92,98,6.69,scattered clouds
40,Ketchikan,US,55.3422,-131.6461,52.27,87,0,9.22,scattered clouds
